,name,stars,address,state,WI,NY,SC,PA,hours,sunday,sunday_close_time,by_appointment_only,restaurant_price,categories,first_category,restaurant
21,McDonald's,,3501 W Bethany Home Rd,AZ,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",0:0-0:0,0:0,0,1,"Fast Food, Coffee & Tea, Restaurants, Food, Burgers",Fast Food,0
22,Law Office of P. Sterling Kerr,,2450 St Rose Pkwy,NV,0,0,0,0,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-15:0'}",,,0,0,"Business Law, Real Estate Law, General Litigation, Professional Services, Lawyers",Business Law,0
23,Precision Imports,,6344 N 7th St,AZ,0,0,0,0,,,,0,0,"Automotive, Auto Repair",Automotive,0
24,Hazelton's Gifts & Gift Baskets,,197 Valley Road,ON,0,0,0,0,,,,0,2,"Flowers & Gifts, Gift Shops, Shopping",Flowers & Gifts,0
25,Quick Movers,,,NC,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",0:0-0:0,0:0,1,0,"Packing Services, Home Services, Movers, Self Storage, Local Services",Packing Services,0
26,LPK'S Culinary Groove,,718 Queen Street E,ON,0,0,0,0,"{'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-19:0'}",,,0,3,"Bakeries, Specialty Food, Desserts, Food, Caterers, Chocolatiers & Shops, Event Planning & Services",Bakeries,0
27,Narmin's Alterations,,"717 W Union Hills Dr, Ste 11",AZ,0,0,0,0,"{'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '10:0-15:0'}",,,0,0,"Sewing & Alterations, Local Services",Sewing & Alterations,0
28,Wrench,,,AZ,0,0,0,0,"{'Monday': '6:0-19:0', 'Tuesday': '6:0-19:0', 'Wednesday': '6:0-19:0', 'Thursday': '6:0-19:0', 'Friday': '6:0-19:0', 'Saturday': '6:0-18:0', 'Sunday': '6:0-18:0'}",6:0-18:0,18:0,0,0,"Automotive, Auto Repair, Oil Change Stations",Automotive,0
29,Banfield Pet Hospital,,171 N Nellis Blvd,NV,0,0,0,0,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-18:0'}",7:0-18:0,18:0,2,1,"Pets, Veterinarians",Pets,0
30,Candi's Cabaret,,3935 Statesville Ave,NC,0,0,0,0,,,,0,None,"Restaurants, Nightlife, American (New), Bars, Adult Entertainment, Sports Bars",Restaurants,0
31,Holy Snack,,"4750 Yonge St, Unit 133",ON,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:30-20:0'}",,,0,1,"Restaurants, Vietnamese, Juice Bars & Smoothies, Asian Fusion, Food, Desserts",Restaurants,0
32,Mike Williams,,1414 S Neil St,IL,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",0:0-0:0,0:0,1,0,"Heating & Air Conditioning/HVAC, Home Services, Advertising, Plumbing, Water Heater Installation/Repair, Professional Services",Heating & Air Conditioning/HVAC,0
33,You Move Me Charlotte,,"10617 Kettering Dr, Ste 108",NC,0,0,0,0,"{'Monday': '7:0-19:30', 'Tuesday': '7:0-19:30', 'Wednesday': '7:0-19:30', 'Thursday': '7:0-19:30', 'Friday': '7:0-19:30', 'Saturday': '7:0-19:30', 'Sunday': '7:30-19:30'}",7:30-19:30,19:30,1,0,"Home Services, Movers",Home Services,0
34,Venetian Banquet & Hospitality Centre,,219 Romina Drive,ON,0,0,0,0,,,,0,3,"Shopping, Event Planning & Services, Venues & Event Spaces",Shopping,0
35,Little Caesars,,", 1705C 17 Avenue S W",AB,0,0,0,0,,,,0,1,"Restaurants, Food, Pizza",Restaurants,0
36,Taco Bell,,1125 S Dobson Rd,AZ,0,0,0,0,"{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}",7:0-22:0,22:0,0,1,"Fast Food, Mexican, Tex-Mex, Restaurants",Fast Food,0
37,A Cafe,,"1350 Euclid Ave, Ste 1400",OH,0,0,0,0,"{'Monday': '6:30-14:30', 'Tuesday': '6:30-14:30', 'Wednesday': '6:30-14:30', 'Thursday': '6:30-14:30', 'Friday': '6:30-14:30'}",,,0,1,"Breakfast & Brunch, Restaurants",Breakfast & Brunch,0
38,Elyria Public Library,,1194 W River Rd N,OH,0,0,0,0,,,,0,0,"Public Services & Government, Libraries",Public Services & Government,0
39,"Douglas Smith, MD",,2131 E Southern Ave,AZ,0,0,0,0,,,,1,0,"Health & Medical, Doctors, Ear Nose & Throat",Health & Medical,0
40,Sin,,2250 Autoroute 13,QC,0,0,0,0,"{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:30-3:0'}",,,0,3,"Comfort Food, Bars, Lounges, Restaurants, Nightlife",Comfort Food,0
41,Sauter's Inn Restaurant,,109 Old Kingston Road,ON,0,0,0,0,"{'Monday': '17:0-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '8:30-21:0', 'Sunday': '8:30-21:0'}",8:30-21:0,21:0,0,2,"German, Restaurants, Hungarian, Canadian (New)",German,0
42,Jill M Thacker - CMG Financial Representative,,"8337 W Sunset Rd, Ste 300",NV,0,0,0,0,"{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0'}",,,2,1,"Home Services, Financial Services, Mortgage Brokers, Real Estate",Home Services,0
43,Lahuna poke,,161 Bay Street,ON,0,0,0,0,"{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0'}",,,2,1,"Restaurants, Food, Poke, Breakfast & Brunch, Sushi Bars, Hawaiian",Restaurants,0
44,CJ's Italian Ice & Custard,,3555 S Durango Dr,NV,0,0,0,0,"{'Monday': '12:0-21:30', 'Tuesday': '12:0-21:30', 'Wednesday': '12:0-21:30', 'Thursday': '12:0-21:30', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}",12:0-22:0,22:0,0,1,"Ice Cream & Frozen Yogurt, Food, Restaurants, Italian, Desserts",Ice Cream & Frozen Yogurt,0
45,Sunset Pizzeria,,869 S Boulder Hwy,NV,0,0,0,0,,,,0,2,"Restaurants, Pizza",Restaurants,0
46,McNeely Family Dentistry,,"9550 Rocky River Rd, Ste 202",NC,0,0,0,0,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-14:0'}",,,1,0,"Health & Medical, Cosmetic Dentists, Pediatric Dentists, Dentists, General Dentistry",Health & Medical,0
47,Mississauga City Hall,,300 City Centre Drive,ON,0,0,0,0,,,,0,0,"Public Services & Government, Libraries",Public Services & Government,0
48,Kevin Walker Insurance,,,NV,0,0,0,0,"{'Monday': '9:0-17:30', 'Tuesday': '9:0-17:30', 'Wednesday': '9:0-17:30', 'Thursday': '9:0-17:30', 'Friday': '9:0-17:0', 'Saturday': '9:0-13:0'}",,,2,1,"Financial Services, Life Insurance, Home & Rental Insurance, Auto Insurance, Insurance",Financial Services,0
49,New Happy Nails & Spa,,3585 S Durango Dr,NV,0,0,0,0,"{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-19:0', 'Sunday': '11:0-17:0'}",11:0-17:0,17:0,1,2,"Nail Salons, Beauty & Spas",Nail Salons,0
50,Prestige Assisted Living At Henderson,,1050 E Lake Mead Pkwy,NV,0,0,0,0,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-17:0'}",8:0-17:0,17:0,1,0,"Retirement Homes, Assisted Living Facilities, Health & Medical",Retirement Homes,0
51,Five Guys,,8234 Greenway Blvd,WI,1,0,0,0,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",11:0-22:0,22:0,0,2,"Fast Food, Burgers, Restaurants, Hot Dogs",Fast Food,0
52,Choice Memorial & Cremation Services,,"4715-13th Street NE, Suite 105",AB,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",0:0-0:0,0:0,2,1,"Cremation Services, Local Services, Funeral Services & Cemeteries",Cremation Services,0
53,The Bowery,,55 Colborne Street,ON,0,0,0,0,,,,0,3,"Restaurants, Mediterranean",Restaurants,0
54,Jim Dickerson Company,,7832 Pence Rd,NC,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",0:0-0:0,0:0,1,0,"Heating & Air Conditioning/HVAC, Electricians, Plumbing, Home Services",Heating & Air Conditioning/HVAC,0
55,Bank of America,,8625 Arbor Creek Dr,NC,0,0,0,0,,,,2,1,"Home Services, Real Estate, Financial Services, Banks & Credit Unions, Mortgage Brokers",Home Services,0
56,Hair Designs by Vanessa,,4005 S El Capitan Way,NV,0,0,0,0,"{'Wednesday': '9:0-19:0', 'Thursday': '9:0-17:0', 'Sunday': '9:0-18:0'}",9:0-18:0,18:0,1,2,"Beauty & Spas, Hair Salons, Hair Stylists",Beauty & Spas,0
57,The Brass Monkey,,3826 S New Hope Rd,NC,0,0,0,0,"{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:30'}",11:0-21:30,21:30,0,2,"Italian, Restaurants, Seafood",Italian,0
58,Mountain View Orthodontics,,"1811 S Rainbow Blvd, Ste 109",NV,0,0,0,0,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-14:0'}",,,1,0,"Dentists, Health & Medical, Orthodontists",Dentists,0
59,We Print What You Want,,2545 Hurontario Street,ON,0,0,0,0,"{'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0'}",,,2,1,"Professional Services, Women's Clothing, Local Services, Shopping, Fashion, Printing Services, Graphic Design, Men's Clothing",Professional Services,0
60,The Diner On Clifton,,11637 Clifton Blvd,OH,0,0,0,0,"{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}",7:0-23:0,23:0,0,1,"Restaurants, Diners",Restaurants,0
61,Burger King,,7240 Kennedy Road,ON,0,0,0,0,,,,0,1,"Burgers, Fast Food, Restaurants",Burgers,0
62,Monk's Bar & Grill - Middleton,,8313 Murphy Dr,WI,1,0,0,0,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}",11:0-23:0,23:0,0,2,"Restaurants, Nightlife, Bars, American (Traditional), Sports Bars, Burgers, Gluten-Free",Restaurants,0
63,Adda Coffee & Tea House,,200 South Highland Ave,PA,0,0,0,1,"{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '7:0-18:0', 'Sunday': '8:0-18:0'}",8:0-18:0,18:0,0,1,"Tea Rooms, Restaurants, Coffee & Tea, Vegan, Food",Tea Rooms,0
64,Flame Kabob,,"4440 S Maryland Pkwy, Ste 109",NV,0,0,0,0,,,,0,2,"Halal, Restaurants, Mediterranean, Persian/Iranian",Halal,0
65,Luci's Healthy Marketplace,,1590 E Bethany Home Rd,AZ,0,0,0,0,"{'Monday': '6:0-20:0', 'Tuesday': '6:0-20:0', 'Wednesday': '6:0-20:0', 'Thursday': '6:0-20:0', 'Friday': '6:0-20:0', 'Saturday': '6:0-20:0', 'Sunday': '6:0-20:0'}",6:0-20:0,20:0,1,2,"Restaurants, Cafes, Comfort Food, Coffee & Tea, Caterers, Event Planning & Services, Specialty Food, Health Markets, Food, Shopping",Restaurants,0
66,Shoppes at River's Edge,,951 Cel River,SC,0,0,1,0,"{'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-17:0'}",,,1,2,"Home Decor, Home & Garden, Antiques, Shopping",Home Decor,0
67,Byron's Plumbing,,3639 Manchester Road SE,AB,0,0,0,0,"{'Monday': '7:0-16:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0'}",,,2,1,"Heating & Air Conditioning/HVAC, Home Services, Contractors, Water Heater Installation/Repair, Plumbing",Heating & Air Conditioning/HVAC,0
68,Flight Deck Cafe,,5803 S Sossaman Rd,AZ,0,0,0,0,"{'Tuesday': '7:30-14:0', 'Wednesday': '7:30-14:0', 'Thursday': '7:30-14:0', 'Friday': '7:30-14:0', 'Saturday': '7:30-13:0', 'Sunday': '7:30-13:0'}",7:30-13:0,13:0,0,1,"Cafes, Restaurants",Cafes,0
69,Oriental Market,,4768 Mcknight Rd,PA,0,0,0,1,"{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-19:0'}",9:0-19:0,19:0,0,1,"Food, Grocery, Ethnic Grocery, International Grocery",Food,0
70,Cinnaholic,,30323 Detroit Rd,OH,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '10:0-21:0'}",10:0-21:0,21:0,0,1,"Bakeries, Restaurants, Vegan, Desserts, Food",Bakeries,0
71,Sushi Box,,2433 University Ave,WI,1,0,0,0,"{'Monday': '11:0-20:30', 'Tuesday': '11:0-20:30', 'Wednesday': '11:0-20:30', 'Thursday': '11:0-20:30', 'Friday': '11:0-20:30', 'Saturday': '11:0-20:30'}",,,0,2,"Restaurants, Japanese, Asian Fusion, Sushi Bars",Restaurants,0
72,Elysian West,,5175 Jerry Tarkanian Way,NV,0,0,0,0,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}",10:0-17:0,17:0,1,0,"Apartments, Home Services, Real Estate",Apartments,0
73,Nevada Yacht Club,,,NV,0,0,0,0,,,,0,0,"Sailing, Active Life, Sports Clubs, Boating",Sailing,0
74,Gentle Dental Deer Valley,,"3414 W Union Hills Dr, Ste 140",AZ,0,0,0,0,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Saturday': '8:0-14:0'}",,,1,0,"Cosmetic Dentists, Dentists, Orthodontists, Oral Surgeons, Health & Medical, General Dentistry",Cosmetic Dentists,0
75,Good Neighbor Fencing,,222 Merry St,WI,1,0,0,0,,,,2,1,"Home Services, Fences & Gates",Home Services,0
76,Brit & Chips,,5536A Côte-des-Neiges,QC,0,0,0,0,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",11:0-22:0,22:0,0,2,"Fish & Chips, Restaurants",Fish & Chips,0
77,Symposium Cafe Restaurant & Lounge,,192 McEwan Drive E,ON,0,0,0,0,"{'Monday': '8:0-0:0', 'Tuesday': '8:0-0:0', 'Wednesday': '8:0-0:0', 'Thursday': '8:0-0:0', 'Friday': '8:0-1:0', 'Saturday': '8:0-1:0', 'Sunday': '8:0-0:0'}",8:0-0:0,0:0,0,2,"Nightlife, American (Traditional), Bars, Restaurants, Breakfast & Brunch, Lounges, Cafes",Nightlife,0
78,Mail & Business Center,,"929 N Val Vista Dr, Ste 109",AZ,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '9:0-17:30', 'Wednesday': '9:0-17:30', 'Thursday': '9:0-17:30', 'Friday': '9:0-17:30', 'Saturday': '9:0-15:0'}",,,0,0,"Shipping Centers, Mailbox Centers, Post Offices, Public Services & Government, Notaries, Local Services",Shipping Centers,0
79,"Law Offices of Stefan R Latorre, PA",,2629 Central Ave,NC,0,0,0,0,"{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '10:0-14:0'}",,,2,1,"Immigration Law, Professional Services, Personal Injury Law, Criminal Defense Law, Lawyers",Immigration Law,0
80,Bk Custom Cleaners,,Sadler Square Shoppi,NC,0,0,0,0,,,,2,1,"Laundry Services, Dry Cleaning & Laundry, Local Services",Laundry Services,0
81,Indian Tandoori House,,4862 Yonge Street,ON,0,0,0,0,,,,0,2,"Indian, Restaurants",Indian,0
82,Gelato Bar,,3849 Spring Mountain Rd,NV,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-1:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '13:0-21:0'}",13:0-21:0,21:0,1,1,"Desserts, Coffee & Tea, Food, Gelato",Desserts,0
83,Sheraton Furniture,,3806 Erie St,OH,0,0,0,0,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",,,2,1,"Home & Garden, Shopping, Home Decor, Interior Design, Medical Supplies, Carpeting, Flooring, Home Services, Furniture Stores",Home & Garden,0
84,Snakes & Lattes College,,489 College Street,ON,0,0,0,0,"{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-0:0'}",11:0-0:0,0:0,0,2,"Pubs, Restaurants, Shopping, Cafes, Nightlife, Gastropubs, Bars, Tabletop Games",Pubs,0
85,Bautista Landscape,,5534 Annie Oakley Dr,NV,0,0,0,0,"{'Monday': '7:0-16:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0', 'Saturday': '7:0-16:0'}",,,1,0,"Landscape Architects, Landscaping, Lighting Fixtures & Equipment, Home Services",Landscape Architects,0
